Frame,X_center,Y_center,Radius
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,1238,679,20
10,1234,681,23
11,1229,682,26
12,1224,684,28
13,1219,687,30
14,1213,689,32
15,1205,690,32
16,1197,690,32
17,1188,690,32
18,1180,691,31
19,1172,691,32
20,1163,692,32
21,1155,693,32
22,1146,695,32
23,1137,695,31
24,1129,695,31
25,1121,697,32
26,1112,697,31
27,1103,698,31
28,1095,697,31
29,1087,699,31
30,0,0,0
31,0,0,0
32,1062,702,31
33,1053,703,30
34,1044,706,30
35,1036,710,29
36,1028,715,30
37,1019,718,30
38,1011,723,30
39,1003,727,28
40,995,731,27
41,987,737,23
42,977,743,23
43,968,749,21
44,961,752,21
45,953,753,21
46,948,753,20
47,941,753,19
48,935,754,21
49,932,755,20
50,0,0,0
51,922,754,20
52,918,753,20
53,913,756,21
54,907,752,19
55,904,753,21
56,898,754,21
57,896,756,22
58,890,756,22
59,886,757,23
60,881,755,21
61,876,757,22
62,873,758,22
63,870,760,23
64,866,760,22
65,864,758,23
66,860,757,21
67,859,760,24
68,855,758,22
69,852,760,23
70,850,760,22
71,0,0,0
72,845,761,22
73,842,763,22
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,832,766,22
79,830,764,21
80,0,0,0
81,828,764,20
82,825,766,22
83,0,0,0
84,825,766,22
85,822,759,19
86,0,0,0
87,821,763,19
88,0,0,0
89,820,763,19
90,818,767,23
91,819,762,19
92,818,767,21
93,0,0,0
94,817,768,22
95,0,0,0
96,817,767,22
97,818,762,19
98,818,766,21
99,0,0,0
100,818,767,21
101,0,0,0
102,818,767,21
103,818,766,21
104,0,0,0
105,818,766,21
106,818,761,19
107,817,767,22
